Type;Ticket;Symbol;Lots;Buy/sell;Open price;Close price;Open time;Close time;Open date;Close date;Profit;Swap;Commission;Net profit;T/P;S/L;Pips;Result;Trade duration (hours);Magic number;Order comment;Account
Open position;106090705;XAUUSD;0.03;Buy;4070.23;4076.57;13/10/2025 8:22;01/01/1970 0:00;13/10/2025;01/01/1970;19.02;0;-0.61;18.41;4155.86;4022.9;63.4;Win;0;31572;XAU_H4_linregbar_8-30%_31572;-darwinex_zero-
Pending order;106167866;SP500;0.38;Buy Stop;6771.3;6633.1;13/10/2025 10:19;01/01/1970 0:00;13/10/2025;01/01/1970;0;0;0;0;6825.1;6732.4;0;n/a;0;4814;SP500_H1_Profit_8-32%_4814;-darwinex_zero-
Pending order;106167865;NDX;0.14;Buy Stop;26019.9;24639.7;13/10/2025 10:19;01/01/1970 0:00;13/10/2025;01/01/1970;0;0;0;0;26227.6;25936.3;0;n/a;0;4614;NQ_H1_WilliamsPr_6-26%_4614;-darwinex_zero-
Deposit;105600072;;0;;0;0;30/09/2025 12:36;30/09/2025 12:36;30/09/2025;30/09/2025;100000;0;0;100000;0;0;0;n/a;0;0;First deposit;-darwinex_zero-
Closed position;105604884;XAUUSD;0.11;Buy;3834.23;3843.9;30/09/2025 17:06;30/09/2025 18:06;30/09/2025;30/09/2025;106.37;0;-2.11;104.26;3865.05;3843.9;96.7;Win;1;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Closed position;105602962;XAUUSD;0.08;Buy;3834.23;3842.85;30/09/2025 17:06;30/09/2025 18:07;30/09/2025;30/09/2025;68.96;0;-1.53;67.43;3890.56;3843.31;86.2;Win;1.01;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Deposit;105631713;;0;;0;0;01/10/2025 1:08;01/10/2025 1:08;01/10/2025;01/10/2025;1.46;0;0;1.46;0;0;0;n/a;0;0;SP500 div. 3.32 USD / lot;-darwinex_zero-
Closed position;105635771;XAUUSD;0.11;Buy;3871.6;3855.77;01/10/2025 5:04;01/10/2025 6:36;01/10/2025;01/10/2025;-174.13;0;-2.13;-176.26;3902.63;3855.71;-158.3;Loss;1.52;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Closed position;105632896;XAUUSD;0.08;Buy;3871.6;3856.27;01/10/2025 5:04;01/10/2025 6:36;01/10/2025;01/10/2025;-122.64;0;-1.55;-124.19;3928.33;3856.09;-153.3;Loss;1.52;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Closed position;105602898;SP500;0.44;Buy;6691.9;6657.8;30/09/2025 22:49;01/10/2025 9:41;30/09/2025;01/10/2025;-150.04;-4.74;-0.24;-155.02;6741.9;6658.1;-341;Loss;10.88;4814;SP500_H1_Profit_8-32%_4814[sl];-darwinex_zero-
Closed position;105643286;XAUUSD;0.11;Buy;3871.62;3882.73;01/10/2025 10:29;01/10/2025 14:13;01/10/2025;01/10/2025;122.21;0;-2.13;120.08;3902.68;3882.75;111.1;Win;3.72;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Closed position;105641226;XAUUSD;0.08;Buy;3871.62;3882.06;01/10/2025 10:29;01/10/2025 14:13;01/10/2025;01/10/2025;83.52;0;-1.55;81.97;3928.43;3882.09;104.4;Win;3.73;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Closed position;105670491;XAUUSD;0.07;Buy;3871.67;3861.93;01/10/2025 16:00;01/10/2025 17:47;01/10/2025;01/10/2025;-68.18;0;-1.36;-69.54;3928.96;3861.93;-97.4;Loss;1.78;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Closed position;105683014;XAUUSD;0.07;Buy;3871.59;3855.54;01/10/2025 19:33;01/10/2025 21:05;01/10/2025;01/10/2025;-112.35;0;-1.36;-113.71;3929.39;3855.72;-160.5;Loss;1.53;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Closed position;105685341;XAUUSD;0.1;Buy;3871.54;3855.22;01/10/2025 20:00;01/10/2025 21:05;01/10/2025;01/10/2025;-163.2;0;-1.94;-165.14;3903.21;3855.29;-163.2;Loss;1.08;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Deposit;105694762;;0;;0;0;02/10/2025 1:07;02/10/2025 1:07;02/10/2025;02/10/2025;0.35;0;0;0.35;0;0;0;n/a;0;0;SP500 div. 0.83 USD / lot;-darwinex_zero-
Closed position;105649229;NDX;0.16;Buy;24813.9;24932.4;01/10/2025 21:00;02/10/2025 16:34;01/10/2025;02/10/2025;189.6;-6.73;-0.88;181.99;25004.2;24932.3;118.5;Win;19.57;4614;NQ_H1_WilliamsPr_6-26%_4614[sl];-darwinex_zero-
Closed position;105690044;XAUUSD;0.07;Buy;3895.36;3879.38;02/10/2025 16:31;02/10/2025 16:49;02/10/2025;02/10/2025;-111.86;0;-1.36;-113.22;3952.91;3879.54;-159.8;Loss;0.3;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Closed position;105690052;XAUUSD;0.1;Buy;3895.36;3879.24;02/10/2025 16:31;02/10/2025 16:49;02/10/2025;02/10/2025;-161.2;0;-1.95;-163.15;3926.77;3879.26;-161.2;Loss;0.3;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Closed position;105637464;XAUUSD;0.03;Buy;3882.29;3839.85;01/10/2025 11:02;02/10/2025 17:42;01/10/2025;02/10/2025;-127.32;-5.26;-0.58;-133.16;3963.04;3839.84;-424.4;Loss;30.67;31572;XAU_H4_linregbar_8-30%_3157[sl];-darwinex_zero-
Deposit;105758753;;0;;0;0;03/10/2025 1:18;03/10/2025 1:18;03/10/2025;03/10/2025;2.91;0;0;2.91;0;0;0;n/a;0;0;SP500 div. 6.93 USD / lot;-darwinex_zero-
Closed position;105657349;SP500;0.42;Buy;6700.2;6751.1;01/10/2025 18:36;03/10/2025 18:51;01/10/2025;03/10/2025;213.78;-9.12;-0.23;204.43;6751.1;6671.3;509;Win;48.26;4814;SP500_H1_Profit_8-32%_4814[tp];-darwinex_zero-
Closed position;105808290;XAUUSD;0.1;Buy;3897.3;3899.18;06/10/2025 1:59;06/10/2025 3:24;06/10/2025;06/10/2025;18.8;0;-1.95;16.85;3929.28;3899.16;18.8;Win;1.42;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Deposit;105870456;;0;;0;0;07/10/2025 1:09;07/10/2025 1:09;07/10/2025;07/10/2025;0.22;0;0;0.22;0;0;0;n/a;0;0;SP500 div. 0.53 USD / lot;-darwinex_zero-
Closed position;105766074;XAUUSD;0.03;Buy;3908.01;3989.6;06/10/2025 2:02;07/10/2025 18:18;06/10/2025;07/10/2025;244.77;-1.76;-0.59;242.42;3989.54;3864.82;815.9;Win;40.27;31572;XAU_H4_linregbar_8-30%_3157[tp];-darwinex_zero-
Closed position;105893288;XAUUSD;0.1;Buy;3969.95;3974.61;07/10/2025 15:04;07/10/2025 18:40;07/10/2025;07/10/2025;46.6;0;-1.98;44.62;4003.02;3974.81;46.6;Win;3.59;17271;XAU_H1_Profit_17271[sl];-darwinex_zero-
Closed position;105890520;XAUUSD;0.07;Buy;3969.95;3974.12;07/10/2025 15:04;07/10/2025 18:40;07/10/2025;07/10/2025;29.19;0;-1.39;27.80;4030.5;3973.98;41.7;Win;3.59;515271;XAU_H1_Linear_6-28%_515271[sl];-darwinex_zero-
Closed position;105919516;XAUUSD;0.07;Buy;3970.09;4031.19;07/10/2025 19:03;08/10/2025 8:17;07/10/2025;08/10/2025;427.7;-4.19;-1.39;422.12;4031.13;4015.2;611.0;Win;13.24;515271;XAU_H1_Linear_6-28%_515271[tp];-darwinex_zero-
Deposit;106007612;;0;;0;0;09/10/2025 1:07;09/10/2025 1:07;09/10/2025;09/10/2025;0.95;0;0;0.95;0;0;0;n/a;0;0;SP500 div. 2.25 USD / lot;-darwinex_zero-
Deposit;106009754;;0;;0;0;09/10/2025 2:07;09/10/2025 2:07;09/10/2025;09/10/2025;0.75;0;0;0.75;0;0;0;n/a;0;0;NDX div. 4.43 USD / lot;-darwinex_zero-
Closed position;105857903;NDX;0.17;Buy;25033.1;25165.7;08/10/2025 17:01;09/10/2025 4:14;08/10/2025;09/10/2025;225.42;-7.22;-0.94;217.26;25221.1;25166.2;132.6;Win;11.2;4614;NQ_H1_WilliamsPr_6-26%_4614[sl];-darwinex_zero-
Closed position;105944609;XAUUSD;0.03;Buy;4002.17;3958.25;08/10/2025 5:11;09/10/2025 20:13;08/10/2025;09/10/2025;-131.76;-7.03;-0.6;-139.39;4084.27;3958.2;-439.2;Loss;39.04;31572;XAU_H4_linregbar_8-30%_3157[sl];-darwinex_zero-
Deposit;106076898;;0;;0;0;10/10/2025 1:23;10/10/2025 1:23;10/10/2025;10/10/2025;3.65;0;0;3.65;0;0;0;n/a;0;0;SP500 div. 8.68 USD / lot;-darwinex_zero-
Closed position;105811552;SP500;0.42;Buy;6737.2;6702.3;06/10/2025 2:30;10/10/2025 17:59;06/10/2025;10/10/2025;-146.58;-18.29;-0.23;-165.10;6788.2;6702.2;-349;Loss;111.49;4814;SP500_H1_Profit_8-32%_4814[sl];-darwinex_zero-
