"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USATECHIDXUSD_DARWINEX";"Sell";"2015.01.09 17:26:00";"4226.8";"0.80000";"2015.01.09 21:59:00";"4222.8";"27.60";"100027.60";"IS";"End Of Friday (Time)";"-25.60";"311.62";"4h 33m";""
"2";"USATECHIDXUSD_DARWINEX";"Sell";"2015.01.15 11:51:00";"4109.1";"0.70000";"2015.01.15 11:54:00";"4134.8";"-183.75";"99843.85";"IS";"SL";"-179.90";"71.87";"3m 0s";""
"3";"USATECHIDXUSD_DARWINEX";"Buy";"2015.01.16 19:50:00";"4118.1";"0.70000";"2015.01.16 21:59:00";"4121.7";"21.35";"99865.20";"IS";"End Of Friday (Time)";"-85.15";"60.13";"2h 9m";""
"4";"USATECHIDXUSD_DARWINEX";"Buy";"2015.01.20 07:05:00";"4153.9";"0.70000";"2015.01.20 16:52:00";"4132.1";"-156.45";"99708.75";"IS";"TrailingStop";"-152.60";"140.65";"9h 47m";""
"5";"USATECHIDXUSD_DARWINEX";"Buy";"2015.02.04 21:02:00";"4236.8";"0.70000";"2015.02.04 22:46:00";"4211.7";"-154.95";"99553.80";"IS";"SL";"-175.70";"79.58";"1h 44m";""
"6";"USATECHIDXUSD_DARWINEX";"Buy";"2015.02.11 18:00:00";"4301.0";"0.90000";"2015.02.11 20:11:00";"4279.9";"-194.85";"99358.95";"IS";"SL";"-189.90";"17.99";"2h 11m";""
"7";"USATECHIDXUSD_DARWINEX";"Buy";"2015.02.11 22:23:00";"4299.0";"0.90000";"2015.02.13 10:06:00";"4354.2";"523.48";"99882.42";"IS";"PT";"-100.49";"496.80";"1d 11h 43m";""
"8";"USATECHIDXUSD_DARWINEX";"Buy";"2015.02.16 14:34:00";"4383.0";"1.00000";"2015.02.16 21:10:00";"4367.0";"-165.50";"99716.92";"IS";"TrailingStop";"-160.00";"69.70";"6h 36m";""
"9";"USATECHIDXUSD_DARWINEX";"Buy";"2015.02.26 19:47:00";"4460.8";"1.50000";"2015.02.26 21:22:00";"4447.7";"-204.75";"99512.17";"IS";"SL";"-196.50";"3.00";"1h 35m";""
"10";"USATECHIDXUSD_DARWINEX";"Buy";"2015.03.02 22:35:00";"4478.0";"1.60000";"2015.03.03 16:12:00";"4465.5";"-208.80";"99303.38";"IS";"SL";"-200.00";"77.38";"17h 37m";""
