"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"XAUUSD_DARWINEX";"Buy";"2015.01.09 15:30:00";"1216.43";"0.40000";"2015.01.09 15:44:00";"1211.67";"-192.83";"99807.16";"IS";"SL";"-190.40";"76.36";"14m 0s";""
"2";"XAUUSD_DARWINEX";"Buy";"2015.01.09 16:57:00";"1216.43";"0.40000";"2015.01.09 21:59:00";"1220.28";"151.57";"99958.73";"IS";"End Of Friday (Time)";"-52.32";"195.96";"5h 2m";""
"3";"XAUUSD_DARWINEX";"Buy";"2015.01.12 03:02:00";"1223.98";"0.40000";"2015.01.12 10:19:00";"1225.56";"60.75";"100019.48";"IS";"TrailingStop";"-27.96";"283.92";"7h 17m";""
"4";"XAUUSD_DARWINEX";"Buy";"2015.01.12 11:17:00";"1223.98";"0.40000";"2015.01.12 14:00:00";"1219.11";"-197.25";"99822.24";"IS";"SL";"-194.80";"13.52";"2h 43m";""
"5";"XAUUSD_DARWINEX";"Buy";"2015.01.12 15:17:00";"1223.98";"0.40000";"2015.01.13 08:12:00";"1234.22";"407.15";"100229.39";"IS";"TrailingStop";"-104.00";"687.16";"16h 55m";""
"6";"XAUUSD_DARWINEX";"Buy";"2015.01.13 09:00:00";"1235.82";"0.40000";"2015.01.13 11:11:00";"1238.94";"122.33";"100351.72";"IS";"TrailingStop";"-3.88";"330.68";"2h 11m";""
"7";"XAUUSD_DARWINEX";"Buy";"2015.01.13 17:14:00";"1235.82";"0.40000";"2015.01.13 20:29:00";"1233.83";"-82.07";"100269.65";"IS";"TrailingStop";"-79.60";"196.04";"3h 15m";""
"8";"XAUUSD_DARWINEX";"Buy";"2015.01.14 16:07:00";"1244.09";"0.40000";"2015.01.14 16:23:00";"1239.13";"-200.89";"100068.76";"IS";"SL";"-198.40";"8.72";"16m 0s";""
"9";"XAUUSD_DARWINEX";"Buy";"2015.01.15 12:45:00";"1244.31";"0.40000";"2015.01.15 14:12:00";"1252.11";"309.51";"100378.27";"IS";"TrailingStop";"-19.12";"656.76";"1h 27m";""
"10";"XAUUSD_DARWINEX";"Buy";"2015.01.16 15:24:00";"1266.71";"0.30000";"2015.01.16 20:13:00";"1274.27";"224.90";"100603.17";"IS";"TrailingStop";"-59.13";"459.63";"4h 49m";""
"11";"XAUUSD_DARWINEX";"Buy";"2015.01.20 10:32:00";"1281.36";"0.40000";"2015.01.20 13:30:00";"1287.65";"249.04";"100852.21";"IS";"TrailingStop";"-5.64";"512.72";"2h 58m";""
"12";"XAUUSD_DARWINEX";"Buy";"2015.01.21 04:38:00";"1297.12";"0.30000";"2015.01.21 13:43:00";"1296.37";"-24.45";"100827.77";"IS";"TrailingStop";"-70.17";"190.26";"9h 5m";""
"13";"XAUUSD_DARWINEX";"Buy";"2015.01.22 18:25:00";"1305.24";"0.30000";"2015.01.22 19:36:00";"1299.97";"-160.06";"100667.70";"IS";"SL";"-158.10";"67.02";"1h 11m";""
"14";"XAUUSD_DARWINEX";"Buy";"2015.01.22 22:23:00";"1305.24";"0.30000";"2015.01.23 02:49:00";"1299.95";"-160.66";"100507.05";"IS";"SL";"-158.70";"25.26";"4h 26m";""
"15";"XAUUSD_DARWINEX";"Buy";"2015.02.03 09:50:00";"1283.34";"0.30000";"2015.02.03 14:15:00";"1278.26";"-154.33";"100352.72";"IS";"SL";"-152.40";"69.90";"4h 25m";""
"16";"XAUUSD_DARWINEX";"Buy";"2015.02.05 04:00:00";"1272.35";"0.30000";"2015.02.05 10:00:00";"1267.12";"-158.81";"100193.91";"IS";"SL";"-156.90";"34.68";"6h 0m";""
"17";"XAUUSD_DARWINEX";"Buy";"2015.02.10 04:51:00";"1243.66";"0.40000";"2015.02.10 10:41:00";"1241.03";"-107.69";"100086.23";"IS";"TrailingStop";"-105.20";"85.92";"5h 50m";""
"18";"XAUUSD_DARWINEX";"Buy";"2015.02.13 17:02:00";"1232.87";"0.40000";"2015.02.13 20:26:00";"1228.20";"-189.27";"99896.96";"IS";"SL";"-186.80";"81.16";"3h 24m";""
"19";"XAUUSD_DARWINEX";"Buy";"2015.02.16 09:43:00";"1234.90";"0.40000";"2015.02.16 16:17:00";"1230.34";"-184.87";"99712.09";"IS";"SL";"-182.40";"65.52";"6h 34m";""
"20";"XAUUSD_DARWINEX";"Buy";"2015.02.19 02:01:00";"1213.38";"0.40000";"2015.02.19 15:20:00";"1217.69";"169.97";"99882.06";"IS";"TrailingStop";"-22.36";"381.28";"13h 19m";""
"21";"XAUUSD_DARWINEX";"Buy";"2015.02.19 18:40:00";"1213.38";"0.40000";"2015.02.19 19:37:00";"1208.91";"-181.23";"99700.84";"IS";"SL";"-178.80";"9.12";"57m 0s";""
"22";"XAUUSD_DARWINEX";"Buy";"2015.02.25 18:01:00";"1204.47";"0.40000";"2015.02.26 14:45:00";"1216.06";"461.19";"100162.02";"IS";"TrailingStop";"-136.04";"618.84";"20h 44m";""
"23";"XAUUSD_DARWINEX";"Buy";"2015.03.02 03:23:00";"1219.33";"0.40000";"2015.03.02 10:00:00";"1218.94";"-18.04";"100143.99";"IS";"TrailingStop";"-39.64";"154.36";"6h 37m";""
"24";"XAUUSD_DARWINEX";"Buy";"2015.03.02 15:02:00";"1219.33";"0.40000";"2015.03.02 15:31:00";"1215.17";"-168.84";"99975.15";"IS";"SL";"-166.40";"17.96";"29m 0s";""
"25";"XAUUSD_DARWINEX";"Buy";"2015.03.05 17:36:00";"1208.93";"0.40000";"2015.03.05 18:20:00";"1204.84";"-166.02";"99809.13";"IS";"SL";"-163.60";"18.00";"44m 0s";""
"26";"XAUUSD_DARWINEX";"Buy";"2015.03.25 13:13:00";"1194.99";"0.50000";"2015.03.25 23:00:00";"1194.82";"-11.24";"99797.90";"IS";"TrailingStop";"-56.05";"234.95";"9h 47m";""
"27";"XAUUSD_DARWINEX";"Buy";"2015.03.26 00:00:00";"1195.47";"0.50000";"2015.03.26 10:03:00";"1209.58";"702.51";"100500.41";"IS";"PT";"-50.10";"705.50";"10h 3m";""
"28";"XAUUSD_DARWINEX";"Buy";"2015.04.01 15:21:00";"1190.72";"0.50000";"2015.04.01 19:26:00";"1204.95";"708.52";"101208.93";"IS";"PT";"0.00";"711.50";"4h 5m";""
"29";"XAUUSD_DARWINEX";"Buy";"2015.04.06 01:00:00";"1213.26";"0.50000";"2015.04.06 10:45:00";"1222.96";"481.97";"101690.90";"IS";"PT";"-18.00";"485.00";"9h 45m";""
"30";"XAUUSD_DARWINEX";"Buy";"2015.04.10 11:20:00";"1203.28";"0.50000";"2015.04.10 15:01:00";"1200.85";"-124.51";"101566.39";"IS";"TrailingStop";"-144.90";"113.55";"3h 41m";""
"31";"XAUUSD_DARWINEX";"Buy";"2015.04.15 20:16:00";"1201.43";"0.50000";"2015.04.16 06:43:00";"1203.82";"116.50";"101682.88";"IS";"TrailingStop";"-44.20";"306.45";"10h 27m";""
"32";"XAUUSD_DARWINEX";"Buy";"2015.04.16 09:14:00";"1204.54";"0.50000";"2015.04.16 11:56:00";"1205.16";"27.99";"101710.88";"IS";"TrailingStop";"-32.25";"223.90";"2h 42m";""
"33";"XAUUSD_DARWINEX";"Buy";"2015.04.20 09:56:00";"1207.78";"0.50000";"2015.04.20 10:04:00";"1206.14";"-85.02";"101625.85";"IS";"TrailingStop";"-82.00";"64.85";"8m 0s";""
"34";"XAUUSD_DARWINEX";"Buy";"2015.04.22 09:28:00";"1204.28";"0.50000";"2015.04.22 10:26:00";"1200.78";"-178.01";"101447.84";"IS";"SL";"-175.00";"23.95";"58m 0s";""
"35";"XAUUSD_DARWINEX";"Buy";"2015.04.27 17:05:00";"1195.90";"0.50000";"2015.04.27 20:29:00";"1204.15";"409.51";"101857.35";"IS";"TrailingStop";"-19.10";"565.90";"3h 24m";""
"36";"XAUUSD_DARWINEX";"Buy";"2015.04.28 17:00:00";"1207.22";"0.50000";"2015.04.28 22:50:00";"1211.65";"218.48";"102075.84";"IS";"TrailingStop";"0.00";"390.55";"5h 50m";""
"37";"XAUUSD_DARWINEX";"Buy";"2015.05.04 15:59:00";"1185.19";"0.50000";"2015.05.04 18:13:00";"1188.74";"174.54";"102250.38";"IS";"TrailingStop";"0.00";"381.10";"2h 14m";""
"38";"XAUUSD_DARWINEX";"Buy";"2015.05.05 14:25:00";"1192.81";"0.50000";"2015.05.05 17:00:00";"1196.66";"189.52";"102439.89";"IS";"TrailingStop";"-149.60";"349.95";"2h 35m";""
"39";"XAUUSD_DARWINEX";"Buy";"2015.05.08 15:29:00";"1192.80";"0.50000";"2015.05.08 15:32:00";"1189.36";"-174.98";"102264.91";"IS";"SL";"-172.00";"32.25";"3m 0s";""
"40";"XAUUSD_DARWINEX";"Buy";"2015.05.08 16:22:00";"1192.80";"0.50000";"2015.05.08 16:38:00";"1189.31";"-177.48";"102087.43";"IS";"SL";"-174.50";"4.50";"16m 0s";""
"41";"XAUUSD_DARWINEX";"Buy";"2015.05.12 13:08:00";"1191.77";"0.50000";"2015.05.12 16:14:00";"1192.63";"40.02";"102127.45";"IS";"TrailingStop";"0.00";"262.75";"3h 6m";""
"42";"XAUUSD_DARWINEX";"Buy";"2015.05.12 17:00:00";"1191.77";"0.50000";"2015.05.13 04:03:00";"1191.58";"-12.48";"102114.97";"IS";"TrailingStop";"-131.50";"179.10";"11h 3m";""
"43";"XAUUSD_DARWINEX";"Buy";"2015.05.13 14:21:00";"1197.03";"0.50000";"2015.05.13 16:47:00";"1209.48";"619.51";"102734.48";"IS";"PT";"-105.00";"622.50";"2h 26m";""
"44";"XAUUSD_DARWINEX";"Buy";"2015.05.14 09:59:00";"1218.86";"0.50000";"2015.05.14 10:47:00";"1215.46";"-173.05";"102561.43";"IS";"SL";"-170.00";"0.40";"48m 0s";""
"45";"XAUUSD_DARWINEX";"Buy";"2015.05.14 13:12:00";"1218.86";"0.50000";"2015.05.14 14:39:00";"1216.43";"-124.55";"102436.88";"IS";"TrailingStop";"-121.50";"48.60";"1h 27m";""
"46";"XAUUSD_DARWINEX";"Buy";"2015.05.14 15:07:00";"1218.86";"0.50000";"2015.05.14 15:38:00";"1215.44";"-174.05";"102262.84";"IS";"SL";"-171.00";"152.90";"31m 0s";""
"47";"XAUUSD_DARWINEX";"Buy";"2015.05.18 08:44:00";"1226.14";"0.50000";"2015.05.18 14:17:00";"1226.90";"34.93";"102297.77";"IS";"TrailingStop";"0.00";"309.45";"5h 33m";""
"48";"XAUUSD_DARWINEX";"Buy";"2015.05.18 15:00:00";"1226.14";"0.50000";"2015.05.18 16:41:00";"1224.79";"-70.57";"102227.20";"IS";"TrailingStop";"-79.85";"143.45";"1h 41m";""
"49";"XAUUSD_DARWINEX";"Buy";"2015.05.18 17:14:00";"1226.14";"0.50000";"2015.05.18 19:08:00";"1225.76";"-22.07";"102205.14";"IS";"TrailingStop";"-32.10";"140.45";"1h 54m";""
"50";"XAUUSD_DARWINEX";"Buy";"2015.05.18 22:28:00";"1226.14";"0.50000";"2015.05.19 04:40:00";"1222.70";"-175.07";"102030.07";"IS";"SL";"-172.00";"5.45";"6h 12m";""
"51";"XAUUSD_DARWINEX";"Buy";"2015.05.22 10:45:00";"1212.76";"0.60000";"2015.05.22 14:24:00";"1211.11";"-102.64";"101927.43";"IS";"TrailingStop";"-99.00";"124.74";"3h 39m";""
"52";"XAUUSD_DARWINEX";"Buy";"2015.05.22 15:04:00";"1212.76";"0.60000";"2015.05.22 15:30:00";"1209.46";"-201.64";"101725.80";"IS";"SL";"-198.00";"44.52";"26m 0s";""
