"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"12";"XAUUSD_DARWINEX";"Buy";"2015.01.09 17:06:00";"1218.57";"0.30000";"2015.01.09 21:59:00";"1220.28";"49.47";"100049.47";"IST";"End Of Friday (Time)";"-96.57";"82.77";"4h 53m";""
"16";"XAUUSD_DARWINEX";"Buy";"2015.01.12 15:17:00";"1223.98";"0.30000";"2015.01.13 03:21:00";"1241.08";"511.16";"100560.63";"IST";"PT";"-78.00";"513.00";"12h 4m";""
"17";"XAUUSD_DARWINEX";"Buy";"2015.01.13 09:00:00";"1235.82";"0.30000";"2015.01.13 11:11:00";"1239.25";"101.05";"100661.68";"IST";"TrailingStop";"-2.91";"248.01";"2h 11m";""
"18";"XAUUSD_DARWINEX";"Buy";"2015.01.13 17:14:00";"1235.82";"0.30000";"2015.01.13 20:20:00";"1234.12";"-52.85";"100608.83";"IST";"TrailingStop";"-51.00";"147.03";"3h 6m";""
"36";"XAUUSD_DARWINEX";"Buy";"2015.01.14 16:07:00";"1244.09";"0.30000";"2015.01.14 16:50:00";"1238.20";"-178.57";"100430.27";"IST";"SL";"-176.70";"6.54";"43m 0s";""
"46";"XAUUSD_DARWINEX";"Buy";"2015.01.15 12:45:00";"1244.31";"0.30000";"2015.01.15 14:12:00";"1252.34";"239.03";"100669.30";"IST";"TrailingStop";"-14.34";"492.57";"1h 27m";""
"55";"XAUUSD_DARWINEX";"Buy";"2015.01.16 15:24:00";"1266.71";"0.30000";"2015.01.16 20:13:00";"1274.49";"231.50";"100900.80";"IST";"TrailingStop";"-59.13";"459.63";"4h 49m";""
"82";"XAUUSD_DARWINEX";"Buy";"2015.01.20 10:32:00";"1281.36";"0.30000";"2015.01.20 13:26:00";"1287.96";"196.08";"101096.88";"IST";"TrailingStop";"-4.23";"384.54";"2h 54m";""
"104";"XAUUSD_DARWINEX";"Buy";"2015.01.22 18:25:00";"1305.24";"0.30000";"2015.01.22 20:21:00";"1299.06";"-187.36";"100909.52";"IST";"SL";"-185.40";"67.02";"1h 56m";""
"192";"XAUUSD_DARWINEX";"Buy";"2015.02.03 09:50:00";"1283.34";"0.30000";"2015.02.03 14:25:00";"1277.31";"-182.82";"100726.69";"IST";"SL";"-180.90";"69.90";"4h 35m";""
"266";"XAUUSD_DARWINEX";"Buy";"2015.02.16 09:43:00";"1234.90";"0.30000";"2015.02.17 04:59:00";"1229.41";"-166.55";"100560.14";"IST";"SL";"-164.70";"49.14";"19h 16m";""
"292";"XAUUSD_DARWINEX";"Buy";"2015.02.19 18:40:00";"1213.38";"0.30000";"2015.02.19 19:59:00";"1208.07";"-161.12";"100399.02";"IST";"SL";"-159.30";"6.84";"1h 19m";""
"328";"XAUUSD_DARWINEX";"Buy";"2015.02.25 03:55:00";"1210.28";"0.30000";"2015.02.25 10:24:00";"1208.17";"-65.12";"100333.91";"IST";"TrailingStop";"-80.16";"45.06";"6h 29m";""
"329";"XAUUSD_DARWINEX";"Buy";"2015.02.25 18:01:00";"1204.47";"0.30000";"2015.02.26 13:36:00";"1216.40";"356.09";"100690.00";"IST";"TrailingStop";"-102.03";"464.13";"19h 35m";""
"353";"XAUUSD_DARWINEX";"Buy";"2015.03.02 15:02:00";"1219.33";"0.40000";"2015.03.02 15:35:00";"1214.39";"-200.04";"100489.96";"IST";"SL";"-197.60";"17.96";"33m 0s";""
"391";"XAUUSD_DARWINEX";"Buy";"2015.03.05 17:36:00";"1208.93";"0.40000";"2015.03.05 18:31:00";"1204.07";"-196.82";"100293.14";"IST";"SL";"-194.40";"18.00";"55m 0s";""
"429";"XAUUSD_DARWINEX";"Buy";"2015.03.12 08:49:00";"1165.19";"0.40000";"2015.03.12 10:07:00";"1160.46";"-191.53";"100101.61";"IST";"SL";"-189.20";"51.56";"1h 18m";""
